address;number_floats
115035, Москва, Город Москва, Улица Пятницкая, дом 20, стр. 1;1
Россия, Москва, улица Воронцово Поле, 16с8;1
115035, Москва, Город Москва, Улица Пятницкая, дом 20, стр. 2;1
115035, Москва, Город Москва, Улица Пятницкая, дом 20, стр. 3;1
105062, Москва, Город Москва, Переулок Подсосенский, дом 14, к. 2;19
Россия, Москва, Лубянский проезд, 25/12;1
Россия, Москва, Покровский бульвар, 10с6;1
Россия, Москва, Покровский бульвар, 10с7;1
115184, Москва, Город Москва, Переулок Пятницкий, дом 7, стр. 1;1
115184, Москва, Город Москва, Переулок Пятницкий, дом 7, стр. 2;1
115184, Москва, Город Москва, Переулок Руновский, дом 8, стр. 2;1
115035, Москва, Город Москва, Набережная Кадашевская, дом 32;1
115035, Москва, Город Москва, Набережная Кадашевская, дом 30;1
Россия, Москва, улица Воздвиженка, 3с5А;1
105064, Москва, Город Москва, Улица Воронцово Поле, дом 16, стр. 1;1
Россия, Москва, Покровский бульвар, 10с1;1
Россия, Москва, Серебрянический переулок, 5с3;1
109028, Москва, Город Москва, Переулок Серебрянический, дом 5, стр. 2;1
109028, Москва, Город Москва, Переулок Серебрянический, дом 5, стр. 1;1
115035, Москва, Город Москва, Набережная Раушская, дом 28, к. 1;1
Россия, Москва, Покровский бульвар, 10с2;1
Россия, Москва, Покровский бульвар, 10с3;1
119072, Москва, Город Москва, Площадь Болотная, дом 16/5, стр. 5;1
115184, Москва, Город Москва, Улица Бахрушина, дом 2/5, стр. 2;1
119019, Москва, Город Москва, Переулок Филипповский, дом 15/5;1
119017, Москва, Город Москва, Переулок Старомонетный, дом 27/29, к. 42;1
109028, Москва, Город Москва, Бульвар Яузский, дом 13, стр. 3;1
115184, Москва, Город Москва, Улица Татарская Большая, дом 33С;1
101000, Москва, Город Москва, Переулок Спасоглинищевский Большой, дом 12, стр. 5;1
101000, Москва, Город Москва, Переулок Спасоглинищевский Большой, дом 12, стр. 7;1
Россия, Москва, 1-й Кадашёвский переулок, 14/13с2;1
115035, Москва, Город Москва, Переулок Кадашевский 1-й, дом 14/13, стр. 3;1
105062, Москва, Город Москва, Переулок Подсосенский, дом 30, стр. 1;1
105062, Москва, Город Москва, Переулок Подсосенский, дом 30, стр. 2;1
Россия, Москва, 1-й Кадашёвский переулок, 14/13с1;1
105062, Москва, Город Москва, Переулок Подсосенский, дом 30, стр. 3;1
115035, Москва, Город Москва, Улица Садовническая, дом 4, стр. 1;1
119019, Москва, Город Москва, Площадь Арбатская, дом 1;1
119180, Москва, Город Москва, Улица Якиманка Большая, дом 7;1
109028, Москва, Город Москва, Улица Воронцово Поле, дом 5/7, стр. 2;1
119180, Москва, Город Москва, Улица Якиманка Большая, дом 6;1
119019, Москва, Город Москва, Площадь Арбатская, дом 4;1
115035, Москва, Город Москва, Улица Ордынка Большая, дом 7, стр. 1;1
115035, Москва, Город Москва, Улица Ордынка Большая, дом 7, стр. 2;1
119180, Москва, Город Москва, Улица Якиманка Большая, дом 1;1
119017, Москва, Город Москва, Улица Ордынка Большая, дом 25/4, стр. 6;1
119180, Москва, Город Москва, Улица Якиманка Большая, дом 3;1
105062, Москва, Город Москва, Переулок Подсосенский, дом 20, стр. 15;1
105062, Москва, Город Москва, Переулок Подсосенский, дом 20, стр. 14;1
115035, Москва, Город Москва, Улица Садовническая, дом 30, к. 1;1
Россия, Москва, Солянский проезд, 6;1
Россия, Москва, Солянский проезд, 4;1
Россия, Москва, Большой Николоворобинский переулок, 6;1
119072, Москва, Город Москва, Улица Серафимовича, дом 2, стр. 2;1
119072, Москва, Город Москва, Площадь Болотная, дом 10, стр. 16;1
119072, Москва, Город Москва, Площадь Болотная, дом 10, стр. 17;1
119019, Москва, Город Москва, Переулок Крестовоздвиженский, дом 4, к. 1А;1
101000, Москва, Город Москва, Проезд Солянский, дом 3;1
115035, Москва, Город Москва, Набережная Софийская, дом 34/12;1
119072, Москва, Город Москва, Площадь Болотная, дом 10, стр. 18;1
101000, Москва, Город Москва, Проезд Солянский, дом 1;1
115035, Москва, Город Москва, Набережная Садовническая, дом 11, стр. 1;1
